id,im_w,im_h,im_x,im_y,obj_x,obj_y,obj_w,obj_h,berry_size,az,alt,dx,dy
2024-08-15 08:41:33.779708,640,480,320,240,342,229,32.669403076171875,34.67695617675781,1132.875458793249,63.515625,74.6,-22,11
2024-08-15 08:41:34.201773,640,480,320,240,344,234,32.064849853515625,32.28190612792969,1035.1144729773514,64.078125,75.5,-24,6
2024-08-15 08:41:34.633828,640,480,320,240,340,239,33.497161865234375,32.76301574707031,1097.468041672837,64.046875,75.65,-20,1
2024-08-15 08:41:35.105877,640,480,320,240,340,244,31.783843994140625,33.722381591796875,1071.8269156245515,64.015625,75.05000000000001,-20,-4
2024-08-15 08:41:35.547799,640,480,320,240,341,244,31.93841552734375,35.66658020019531,1139.1340588731691,64.1328125,74.45000000000002,-21,-4
2024-08-15 08:41:35.989486,640,480,320,240,343,244,31.959442138671875,35.26171875,1126.9448601007462,64.546875,73.85000000000002,-23,-4
2024-08-15 08:41:36.408533,640,480,320,240,343,244,32.4298095703125,34.39198303222656,1115.325460480526,64.9609375,73.25000000000003,-23,-4
2024-08-15 08:41:36.854120,640,480,320,240,343,245,32.22821044921875,32.78129577636719,1056.4824990788475,65.375,72.50000000000003,-23,-5
2024-08-15 08:41:37.320685,640,480,320,240,336,238,32.218597412109375,31.923431396484375,1028.5281841764227,64.75,72.80000000000003,-16,2
2024-08-15 08:41:37.740783,640,480,320,240,349,239,31.455047607421875,33.48512268066406,1053.27612806065,66.0546875,72.95000000000003,-29,1
2024-08-15 08:41:38.114344,640,480,320,240,337,228,34.174224853515625,34.0399169921875,1163.287777286023,65.578125,74.75000000000003,-17,12
2024-08-15 08:41:38.426853,640,480,320,240,330,228,33.594207763671875,33.91957092285156,1139.5011128368787,64.0625,76.55000000000003,-10,12
2024-08-15 08:41:39.040533,640,480,320,240,266,203,32.79339599609375,31.120254516601562,1020.5388298621401,53.046875,82.10000000000002,54,37
2024-08-15 08:41:39.542921,640,480,320,240,367,259,30.18048095703125,29.857620239257812,901.1173390531912,57.0234375,79.25000000000003,-47,-19
2024-08-15 08:41:40.011537,640,480,320,240,350,238,32.761444091796875,28.157012939453125,922.4644052078947,58.4765625,79.55000000000003,-30,2
2024-08-15 08:41:40.402415,640,480,320,240,338,234,33.452606201171875,28.8455810546875,964.959863666445,58.1484375,80.45000000000003,-18,6
2024-08-15 08:41:40.786591,640,480,320,240,337,236,32.476287841796875,28.023269653320312,910.0917715295218,57.671875,81.05000000000003,-17,4
2024-08-15 08:41:41.196787,640,480,320,240,336,245,30.622650146484375,29.424545288085938,901.057556076441,57.046875,80.30000000000003,-16,-5
2024-08-15 08:41:41.925361,640,480,320,240,399,319,31.0335693359375,35.104827880859375,1089.4281100668013,65.7734375,68.45000000000003,-79,-79
2024-08-15 08:41:42.579024,640,480,320,240,332,220,29.55859375,31.893112182617188,942.7155464291573,64.5546875,71.45000000000003,-12,20
2024-08-15 08:41:42.950375,640,480,320,240,336,226,28.156280517578125,33.140167236328125,933.1038451055065,63.9296875,73.55000000000003,-16,14
2024-08-15 08:41:43.659246,640,480,320,240,366,267,24.08837890625,28.709442138671875,691.5639204233885,67.7578125,69.50000000000003,-46,-27
2024-08-15 08:41:44.148292,640,480,320,240,344,230,23.424957275390625,26.517044067382812,621.1606243480928,68.3203125,71.00000000000003,-24,10
